Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2020-01-03,113.8,120.0,113.8,120.0,120.0,[],None,1.0,0.0,0.0,,0,0.0037408545236949572,0.0026737967914438505,0.008807352311617039,0.0053201202208984985
2020-01-04,120.0,120.39,119.29,120.39,120.39,"['hammer', 'doji']",None,0.3545454545454569,0.0,0.6454545454545431,,0,0.005270755450272051,0.0027685950413223123,0.01018177994637479,0.005416356161814566
2020-01-05,120.39,123.54,120.39,121.1,121.1,['inverse hammer'],None,0.22539682539682301,0.774603174603177,0.0,,0,0.005366991153718029,0.0035342732134176005,0.010457166175561222,0.0055915549260463805
2020-01-06,121.2,128.14,121.2,128.14,128.14,[],None,1.0,0.0,0.0,,0,0.00556686530702891,0.004652406417112294,0.010659950580689415,0.007328737038992825
2020-01-07,128.86,129.85,124.71,128.1,128.1,['hanging man'],None,0.14785992217899208,0.1926070038910468,0.6595330739299611,,0,0.007457033225993517,0.005068060281964021,0.011538683002911578,0.007318866686078361
2020-01-08,128.2,132.28,123.84,126.21,126.21,[],None,0.23578199052132648,0.4834123222748831,0.2808056872037904,,0,0.0072941728047772394,0.005658726300437532,0.011320877530736857,0.006852492510869727
2020-01-09,126.21,126.68,121.28,123.57,123.57,[],None,0.4888888888888885,0.08703703703703937,0.42407407407407216,,0,0.006803123958988785,0.004297520661157024,0.01067997867008479,0.006201049218514807
2020-01-10,123.84,130.58,121.67,129.99,129.99,[],None,0.6902356902356901,0.06621773288439986,0.2435465768799101,,0,0.006218306991893994,0.005245503159941663,0.010777615605887254,0.007785240861286999
2020-01-11,129.52,132.6,128.1,128.51,128.51,"['shooting star', 'bearish harami']",None,0.22444444444444875,0.6844444444444409,0.09111111111111035,,0,0.007619893647209788,0.005736509479824986,0.012387373291040678,0.007420037803451664
2020-01-12,128.14,131.57,127.8,131.57,131.57,[],None,0.9098143236074299,0.0,0.09018567639257018,,0,0.007279367311939393,0.005486144871171605,0.012312267955808018,0.008175119801408497
2020-01-13,130.71,130.77,127.68,129.05,129.05,[],None,0.5372168284789627,0.019417475728156053,0.44336569579288126,,0,0.007913535921827003,0.005291686922702966,0.012282225821714954,0.007553287567796989
2020-01-14,129.05,152.68,129.05,149.3,149.3,['bullish engulfing'],None,0.8569614896318242,0.1430385103681759,0.0,,0,0.007503917286646684,0.010617403986387941,0.012625206852610787,0.012550153730746645
